"date" "NY-NewYork" "IL-Chicago" "CA-LosAngeles" "Composite-20"
"59" 2004-11-01 183.690002441406 147.860000610352 216.580001831055 173.649993896484
"60" 2004-12-01 185.160003662109 148.850006103516 217.339996337891 174.830001831055
"61" 2005-01-01 187.190002441406 149.690002441406 219.410003662109 176.440002441406
"62" 2005-02-01 189.289993286133 151.020004272461 222.289993286133 178.5
"63" 2005-03-01 192.169998168945 151.850006103516 226.75 181.300003051758
"64" 2005-04-01 194.100006103516 153.279998779297 231.589996337891 184.240005493164
"65" 2005-05-01 195.960006713867 154.720001220703 236.679992675781 187.210006713867
"66" 2005-06-01 197.770004272461 156.160003662109 241.699996948242 190.100006103516
"67" 2005-07-01 199.860000610352 157.380004882812 246.369995117188 192.669998168945
"68" 2005-08-01 202.330001831055 157.809997558594 251.100006103516 194.979995727539
"69" 2005-09-01 204.830001831055 159.320007324219 255.850006103516 197.360000610352
"70" 2005-10-01 207.639999389648 160.470001220703 260.160003662109 199.399993896484
"71" 2005-11-01 210.300003051758 162.440002441406 262.559997558594 200.970001220703
"72" 2005-12-01 212.679992675781 163.160003662109 264.769989013672 201.970001220703
"73" 2006-01-01 213.5 163.979995727539 265.920013427734 202.440002441406
"74" 2006-02-01 214.470001220703 164.669998168945 267.75 203.190002441406
"75" 2006-03-01 214.330001831055 164.889999389648 268.230010986328 203.649993896484
"76" 2006-04-01 214.970001220703 165.580001831055 270.440002441406 204.820007324219
"77" 2006-05-01 215.570007324219 166.610000610352 272.119995117188 205.860000610352
"78" 2006-06-01 215.830001831055 167.100006103516 273.220001220703 206.380004882812
"79" 2006-07-01 215.25 167.570007324219 273.850006103516 206.520004272461
"80" 2006-08-01 214.339996337891 167.990005493164 273.799987792969 206.179992675781
"81" 2006-09-01 214.089996337891 168.600006103516 273.940002441406 205.800003051758
"82" 2006-10-01 214.289993286133 168.589996337891 273.660003662109 205.410003662109
"83" 2006-11-01 214.240005493164 168.179992675781 273.049987792969 204.649993896484
"84" 2006-12-01 213.789993286133 167.649993896484 270.029998779297 203.330001831055
"85" 2007-01-01 212.779998779297 167.520004272461 268.679992675781 202.309997558594
"86" 2007-02-01 212.520004272461 167.490005493164 266.630004882812 201.570007324219
"87" 2007-03-01 212.399993896484 167.039993286133 264.579986572266 201.009994506836
"88" 2007-04-01 211.619995117188 165.869995117188 263.369995117188 200.539993286133
"89" 2007-05-01 210.509994506836 165.679992675781 263.190002441406 200.119995117188
"90" 2007-06-01 209.490005493164 165.940002441406 262.119995117188 199.440002441406
"91" 2007-07-01 208.369995117188 166.130004882812 260.839996337891 198.720001220703
"92" 2007-08-01 207.179992675781 165.770004272461 258.070007324219 197.369995117188
"93" 2007-09-01 206.389999389648 164.419998168945 254.789993286133 195.690002441406
"94" 2007-10-01 205.539993286133 163.119995117188 249.5 192.979995727539
"95" 2007-11-01 204.380004882812 161.610000610352 240.429992675781 188.940002441406
"96" 2007-12-01 202.089996337891 160.029998779297 233.029998779297 184.970001220703
"97" 2008-01-01 200.440002441406 156.419998168945 224.410003662109 180.679992675781
"98" 2008-02-01 198.309997558594 153.289993286133 214.830001831055 175.960006713867
"99" 2008-03-01 196.520004272461 150.330001831055 207.110000610352 172.199996948242
"100" 2008-04-01 194.720001220703 150.429992675781 202.449996948242 169.979995727539
"101" 2008-05-01 194.229995727539 149.940002441406 198.539993286133 168.600006103516
"102" 2008-06-01 194.740005493164 150.110000610352 195.699996948242 167.779998779297
"103" 2008-07-01 193.699996948242 149.550003051758 192.550003051758 166.360000610352
"104" 2008-08-01 193.479995727539 149.460006713867 189.179992675781 164.649993896484
"105" 2008-09-01 191.660003662109 147.830001831055 184.539993286133 161.639999389648
"106" 2008-10-01 189.660003662109 145.479995727539 179.820007324219 158.089996337891
"107" 2008-11-01 186.520004272461 141.389999389648 175.850006103516 154.5
"108" 2008-12-01 183.449996948242 137.160003662109 171.399993896484 150.539993286133
"109" 2009-01-01 180.929992675781 130.850006103516 166.550003051758 146.339996337891
"110" 2009-02-01 177.839996337891 126.379997253418 163.169998168945 143.110000610352
"111" 2009-03-01 173.600006103516 122.5 160.889999389648 140.059997558594
"112" 2009-04-01 170.690002441406 122.370002746582 159.369995117188 139.259994506836
"113" 2009-05-01 171.169998168945 123.730003356934 159.179992675781 139.979995727539
"114" 2009-06-01 172.339996337891 124.98999786377 160.899993896484 141.970001220703
"115" 2009-07-01 173.910003662109 128.320007324219 163.970001220703 144.320007324219
"116" 2009-08-01 175.130004882812 130.550003051758 166.619995117188 146.110000610352
"117" 2009-09-01 174.809997558594 132.130004882812 168.029998779297 146.630004882812
"118" 2009-10-01 174.419998168945 130.75 168.429992675781 146.490005493164
"119" 2009-11-01 172.649993896484 129.360000610352 169.720001220703 146.169998168945
"120" 2009-12-01 171.850006103516 127.26000213623 171.380004882812 145.889999389648
"121" 2010-01-01 171.389999389648 125.110000610352 172.970001220703 145.309997558594
"122" 2010-02-01 170.559997558594 122.569999694824 171.809997558594 144.059997558594
